"","topic","numSim","w0","w1","w2","w3","w4","w5","w6","w7","w8","w9"
"4592","st_ti_tm_tn",10,"st_ti_tm_tn","mq_or_ps_sq","ge_gn_mc_mi","ot_hw","blight_mp","brown_needle_blight_mp","bt_cb_cc_ds","introduc_mp","mp_ab_bc_bo","ge_gl_gn_mc"
"4593","wheat_bran",10,"wheat_bran","sunflower_meal","bran","glutenfeed","wheat_flour","barley_flour","maize_gluten","wheat_barley","oats_sorghum","whole_meal_bread"
"4594","injected",10,"injected","orally","intradermally","per_os","14c_acarbose","14c_dl_tartrate","subcutaneously","chloramphenicol_succinate","nitrofurantoin_macrocrystals","intravenously"
"4595","ot_hw",10,"ot_hw","ge_gn_mc_mi","st_ti_tm_tn","mq_or_ps_sq","bt_cb_cc_ds","mp_ab_bc_bo","blight_mp","brown_needle_blight_mp","ge_gl_gn_mc","introduc_mp"
"4596","both_documents",8,"both_documents","as_background_documents","submitted_addenda_united_kingdom","submitted_addenda_france","submitted_addenda","submitted_addenda_germany","submitted_addenda_netherlands","submitted_addenda_austria","",""
"4597","have_occurred",10,"have_occurred","adult_culicoides","endemic_zones","secondary_spread","endemic_countries","circulate","southward","vaccinated_herds","occurs","infected_midges"
"4598","cho_cells",10,"cho_cells","human_lymphocytes","v79_cells","chromosomal_aberrations","chinese_hamster_ovary_cho","mouse_lymphoma_cells","cultured_human_lymphocytes","chromosomal_aberration_assays","sister_chromatid_exchange_sce","chromosome_aberrations"
"4599","echinococcus",10,"echinococcus","toxoplasma","cysticercus","yersinia","francisella","rabies_toxoplasma_cysticerci","rabies_toxoplasma","infected_bats","trichinella","table_eh4"
"4600","immediately_after",10,"immediately_after","immediately_before","immediately","post","just_before","overnight","atmospheric_air","soon_after","stick_interval","immediately_following"
"4601","gas_chromatography_mass_spectrometry",10,"gas_chromatography_mass_spectrometry","mass_spectrometry_gc_ms","gc_ms_gas_chromatography","spectrometry_gcms_gas_chromatography","chromatography_mass_spectrometry_gcms","mass_spectrometry_gcms_gas","gcms_gas_chromatography_mass","spectrometry_gcms","high_resolution_mass_spectrometry","gas_chromatography"
"4602","table_olives_kumquats_marumi",10,"table_olives_kumquats_marumi","edible_peel_dates_figs","kumquats_nagami_kumquats_carambola","bilimbi_persimmon_jambolan_java","plum_java_apple","kumquats_nagami_kumquats_limequats","other_treeberries_others_vi","miscellaneous_fruit","citrus_aurantifolia_x_fortunella","bilimbi"
"4603","pmem",10,"pmem","general_surveillance_gs","gmps","pmem_reports","environmental_risk_assessment","monitoring_pmem","efsa_2006b_2011c","post_market_environmental","noted_shortcomings","maize_mon_810"
"4604","sulphur",7,"sulphur","carbon","hydroxy_4methylthiobutanoic_acid","vanadyl","fe_ii","transamination","salts","","",""
"4605","more_detail",6,"more_detail","detail","following_sections","following_paragraphs","more_detail_below","previous_sections","","","",""
"4606","organisations",10,"organisations","international_organisations","agencies","institutions","authorities","stakeholders","international_bodies","international_agencies","organizations","academics"
"4607","berries_allspice_anise_pepper",10,"berries_allspice_anise_pepper","japan_pepper_caraway_cardamom","juniper_berries_pepper_black","fenugreek_nutmeg_others_ii","dill_seed_fennel_seed","berries_allspice_sichuan_pepper","white_long_pepper","berries_allspice","japan_pepper_caraway","coriander_seed_cumin_seed"
"4608","seed_cotton_seed_pumpkin",10,"seed_cotton_seed_pumpkin","rape_soya_bean_mustard","seed_bird_rapeseed_turnip","seeds_safflower_borage_gold","seed_sunflower_seed_rape","peanuts_poppy_seed_sesame","others_ii_oilfruits_olives","pleasure_hempseed_castor_bean","cucurbitacea_safflower_borage_gold","oilfruits_i_oilseeds_linseed"
"4609","endocrine",10,"endocrine","hormonal","signalling","steroidogenesis","steroidogenic","estrogen","functional","immunological","gene_expression","perturbations"
"4610","places",10,"places","surroundings","coming_from_outside","hygienic_measures","markets","reinfestation","packing_stations","airports","effective_sanitation","visitors"
"4611","rule",4,"rule","over_thirty_months","idrefpos","computer_code","","","","","",""
"4612","entirely",10,"entirely","even_if","easily","accurately","unless","feasibly","correctly_applied","simply","indeed","fully"
"4613","cell_culture",8,"cell_culture","virus_isolation","viral_rna","rt_pcr","cell_cultures","live_attenuated","virus","immunofluorescence","",""
"4614","outbreaks_caused_by",10,"outbreaks_caused_by","staphylococcal_toxins","water_borne_outbreaks","clostridium_toxins","excluding_strong_evidence_waterborne","other_causative_agents","weak_evidence_food_borne","strong_evidence_food_borne","viruses_excluding_strong","excluding_strong_evidence"
"4615","each_sex",10,"each_sex","per_sex","sex_group","each_sex_per","each_sex_received","female_sprague_dawley_rats","female_beagle_dogs","satellite_groups","female_crl_cd","female_wistar_rats"
"4616","clark",10,"clark","williams","johnson","miller","harrison","robinson","moore","rg","taylor","adams"
"4617","fitting",10,"fitting","fitted","regression","fits","kinetic_model","simple_first_order","generalised_linear","empirical","regression_analysis","best_fit"
"4618","cauliflower_others_b",10,"cauliflower_others_b","head_brassica_brussels_sprouts","head_cabbage_pointed_head","chinese_broccoli_broccoli_raab","cabbage_red_cabbage_savoy","broccoli_raab_chinese_broccoli","flowering_brassica_broccoli_calabrese","cabbage_white_cabbage","fruiting_vegetables_iv_brassica","cauliflower_others"
"4619","cfu_kg",10,"cfu_kg","complete_feedingstuffs_select_what","x_1010_cfu","x_107_cfu","x_108","complete_feedingstuffs_supplementary","x_109_cfu","108_cfu_kg","x_108_cfu","cfus"
"4620","farmed_deer",10,"farmed_deer","farmed_wild_boar","farmed_reindeer","reindeer","tuberculosis","domestic_solipeds_originating_from","deer_reindeer","trichinella","human_pathogenic_mycobacteria","mycobacterial_infections"
"4621","reptiles_frog_legs_crocodiles",10,"reptiles_frog_legs_crocodiles","vi_snails_vii","other_terrestrial","iv_honey_royal_jelly","products_wild_game","v_amphibians","pollen_1050000_v_amphibians","honey_royal_jelly_pollen","1060000_vi_snails_1070000","vii_other"
"4622","head_brassica_brussels_sprouts",10,"head_brassica_brussels_sprouts","head_cabbage_pointed_head","cauliflower_others_b","cabbage_red_cabbage_savoy","chinese_broccoli_broccoli_raab","broccoli_raab_chinese_broccoli","cabbage_white_cabbage","flowering_brassica_broccoli_calabrese","chinese_cabbage_indian","cauliflower_others"
"4623","juices",10,"juices","vegetables_juices","dried_fruits","soy_sauce","purées","bakery_products","mixed_salad","jams","fruit_nectars","fruit_juices"
"4624","unlike",10,"unlike","apparently","moreover","primarily","rarely","notably","indeed","much_more","commonly","suggesting_that"
"4625","fruit_apples_crab",10,"fruit_apples_crab","walnuts_others_iii_pome","apple_pears_oriental_pear","quinces_medlar_loquat_others","pecans_pine_nuts_pistachios","iv_stone_fruit_apricots","coconuts_hazelnuts_filbert_macadamia","cherries_sweet_cherries_sour","iv_stone_fruit","greengage_mirabelle"
"4626","atsdr",7,"atsdr","us_epa","who_ipcs","iarc","astdr","oehha_2011","ipcs","","",""
"4627","dipping",5,"dipping","dip","drenching","harvesting","immersion","","","","",""
"4628","butane",10,"butane","p_menth","dithiol","propane","ol","octane","butan","ethane","diol","undergo_allylic"
"4629","transparent",10,"transparent","knowledge_elicitation","sound","oversight","validating","thorough","structured","scientifically_robust","elicitation_exercise","quantitative_expressions"
"4630","tracing",10,"tracing","hotspot_bg_8","hav_cases","tracing_activities","hotspot_pl_98","hav_outbreak","back_tracing","local_pickers","hotspot_rs_179","freezing_processor"
"4631","spray_applications",10,"spray_applications","granule_applications","succeeding_annual","arable_field_crops","broadcasted_granule","seed_treatments","adjacent_crops","table_jyy","dust_drift_deposition","adjacent_crop"
"4632","body_burden",10,"body_burden","mobb","body_burdens","pbpk_model","dose_metric","lasc","panel_chose","steady_state_body_burden","noael_mobb","body_dimensionless"
"4633","soil_predicted_environmental",10,"soil_predicted_environmental","sediment_predicted_environmental_concentration","surface_water_ph","value_pesticide_handler","ground_water_predicted_environmental","air_predicted_environmental_concentration","surface_water_predicted_environmental","environmental_concentration_predicted_environmental","predicted_environmental_concentration","food_types_predicted"
"4634","ethyl_acetate",10,"ethyl_acetate","dichloromethane","hexane","acetone","methanol","acetonitrile","xylene","toluene","n_heptane","octanol"
"4635","correlated_with",10,"correlated_with","urinary_perchlorate","elevated","negatively_correlated_with","prenatal_bpa","evident","suggesting_that","maternal_urinary_bpa","dose_dependent","circulating_thyroid_hormones"
"4636","quinces",10,"quinces","plums_lemons","courgettes_cucumbers","watermelons_melons","medlar","lemons_limes","peppers_cucumbers","tomatoes_peppers","brussels_sprouts_globe_artichokes","melons_watermelons"
"4637","plasmids",10,"plasmids","mobile_genetic_elements","plasmid","operon","encoding","genes","encoded_by","ampc_beta_lactamase","inchi2","insertion_sequence"
"4638","correctly",10,"correctly","carefully","describe_how","appropriately","properly","red_box","truly_conscious","feasible","simply","misapplication"
"4639","epoxide",10,"epoxide","epoxidation","dicarbonyl","derivative","reactive_intermediate","side_chain","aldehyde","decarboxylation","reactive_intermediates","dihydrodiol"
"4640","body_fat",7,"body_fat","lean_body_mass","id_610","appetite_leading","intestinal_calcium_absorption","accretion","while_preserving_lean_muscle","","",""
"4641","minor_poultry_species",10,"minor_poultry_species","minor_avian_species","fattening_reared","minor_porcine_species","chickens_reared","laying","fattening_chickens","laying_minor_avian","minor_poultry","laying_minor_poultry"
"4642","eu_mrls_file",8,"eu_mrls_file","mrls_pesticides_web","limits_mrls_pesticides_web","110010","pesticides_web_version","code_number_100000_110000","2013_11","created","",""
"4643","indole",5,"indole","methylindole","n_acetylcystein","acetylpyridine","alcohol_aldehyde","","","","",""
"4644","stressors",10,"stressors","stressor","interact","environmental_stressors","life_history_traits","different_life_stages","aerial_pollutants","factors","cues","interacting"
"4645","trinexapac",10,"trinexapac","trinexapac_ethyl","clodinafop","picolinafen","prosulfuron","rimsulfuron","metconazole","dichlorprop_p","thifensulfuron_methyl","bentazone"
"4646","applicant_shall_undertake",4,"applicant_shall_undertake","documents_submitted","efsa_after_verifying","particulars","","","","","",""
"4647","tswv",10,"tswv","p_nigra","scv","ctv","frankliniella_occidentalis","iiaii","multiple_hosts","e_orientalis","r_similis","protected_zone"
"4648","asthma",10,"asthma","allergic_rhinitis","urticaria","eczema","atopic_dermatitis","rhinitis","atopic","rhinoconjuctivitis","patients_suffering_from","hypersensitivity"
"4649","ames_assay",10,"ames_assay","salmonella_typhimurium_strains_ta98","s_typhimurium_strains_ta98","ames_test","salmonella_typhimurium_strains","reverse_mutation_assay","ta100","ames_assays","ta102","without_metabolic_activation"
"4650","efsa_after_verifying",4,"efsa_after_verifying","documents_submitted","particulars","applicant_shall_undertake","","","","","",""
"4651","air_predicted_environmental_concentration",10,"air_predicted_environmental_concentration","environmental_concentration_predicted_environmental","ground_water_predicted_environmental","food_types_predicted","sediment_predicted_environmental_concentration","organic_matter_content_pascal","soil_predicted_environmental","pascal_proportion","content_pascal_proportion","development_organic_matter"
"4652","heifers",10,"heifers","steers","bulls","calves","cows","beef_cows","heifer","holstein_friesian","calf","veal_calves"
"4653","korea",10,"korea","taiwan","china","malaysia","hong_kong","pakistan","thailand","korea_japan","india","japan"
"4654","carcinomas",10,"carcinomas","adenomas","adenocarcinomas","carcinoma","adenoma","papillomas","pheochromocytomas","renal_tubular_adenomas","eosinophilic_foci","lung_adenomas"
"4655","sperm",10,"sperm","testis","motility","epididymis","seminiferous_epithelium","epididymal_sperm","testicular","seminal_vesicle","uterine","hind_limb"
"4656","dehydration",10,"dehydration","sweating","blurred_vision","hyperthermia","mydriasis","urinary_retention","nervousness","restlessness","hyperventilation","micturition"
"4657","choose",10,"choose","try","select","probabilistic_judgements","know","explain_how","we_chose","we_wish","we_need","check_whether"
"4658","forty_fourth_meeting",10,"forty_fourth_meeting","forty_sixth_report","forty_ninth_report","fifty_ninth_report","fifty_first_meeting","sixty_third_report","fifty_seventh_report","sixty_first_report","fifty_ninth_meeting","sixty_fifth_report"
"4659","p_pinea",10,"p_pinea","p_pinaster","p_pinea_trees","pwn","dominated_by_p_pinaster","forest_stands","m_galloprovincialis","b_xylophilus","tróia_peninsula","dead_trees"
"4660","glucosinolates",4,"glucosinolates","saponins","tropane_alkaloids","botanical_impurities","","","","","",""
"4661","listeriosis",10,"listeriosis","salmonellosis","vtec_infections","human_cases","campylobacteriosis","yersiniosis","trichinellosis","echinococcosis","non_typhoidal_salmonellosis","tularaemia"
"4662","an_increased_incidence",10,"an_increased_incidence","increased_incidence","increased_incidences","mammary_fibroadenomas","phaeochromocytomas","carcinomas","nephropathy","hepatocellular_adenomas","hyperplasia","adenomas"
"4663","hormones",10,"hormones","hormone","hormonal","thyroid_hormones","androgens","thyroid_hormone","progesterone","receptors","estrogen","functional"
"4664","242990_243000_243010",5,"242990_243000_243010","242990_243000","240000_241000","241990_242000_242010_242020","241990_242000_242010","","","","",""
"4665","shed",10,"shed","become_infected","acutely_infected","viraemic","may_become_infected","localised","secretions","largest_numbers","sub_clinically_infected","adult_tapeworm"
"4666","must_be_explained",10,"must_be_explained","all_abbreviations_used","gifap_technical_monograph","e_gcpf_codes","must_be_explained_method","e_gifap_codes","gr_gcpf_codes_gifap","technical_monograph_no","cipac_fao","granule_wg"
"4667","lairage",10,"lairage","lairage_conditions","transport_vehicles","lairaging","slaughter_process","transportation","lairage_time","pre_slaughter","sanitary_conditions","slaughterhouse_lairage"
"4668","inedible_peel",10,"inedible_peel","edible_peel","cucurbits_edible","cane_fruits","aubergines","apricots_peaches","grapes_strawberries","cucurbits_with","tomatoes_aubergines_cucurbits","cucurbits_edible_peel"
"4669","maximum_tolerated_dose",10,"maximum_tolerated_dose","safety_data_sheet","level_mass_spectrometry","national_estimated_short","water_holding_capacity","term_intake_nanogram","milli_newton_maximum","nanometre","millilitre_millimetre_maximum","volume_milligram_millilitre_millimetre"
"4670","performance_characteristics",10,"performance_characteristics","crl_recommends","satisfactory_performance_characteristics","en_15510","cen_methods","icp_aes_cen","eurl_recommends","cen_method","above_mentioned_cen","method_performance_characteristics"
"4671","contact_material",8,"contact_material","contact_plastic_materials","high_density_polyethylene","poly_ethylene_terephthalate","processing_aids_dalton","food_stimulant","polyvinylchloride","food_contact_materials","",""
"4672","breeding_holdings",10,"breeding_holdings","production_holdings","salmonellapositive_holdings","pooled_dust","holdings_housing_breeding_pigs","breeding_pig_holdings","production_holdings_mrsa","breeding_pigs","mrsa_st_398","non_st_398"
"4673","graph",10,"graph","x_axis","logodds_scale","plotted","marginal_prevalence","right_side","test_statistic","aicc","dashed","graphs"
"4674","legs",10,"legs","wings","neck","necks","feet","belly","chest","flexed","claws","limp"
"4675","exotic",10,"exotic","vectors","vector_species","vectored","endemic","spread_northwards","transmitting","hosts","spreading","insect_vector"
"4676","peppers_chilli_peppers_aubergines",10,"peppers_chilli_peppers_aubergines","egg_plants_pepino_okra","solanacea_tomatoes_cherry_tomatoes","lady_s_fingers_others","b_cucurbits_edible","similar_varieties_others_iii","peel_cucumbers_gherkins_courgettes","l_chinense_tree_tomato","physalis_spp_gojiberry_wolfberry","lycium_barbarum"
"4677","sodium_chloride",5,"sodium_chloride","calcium_hydroxide","silica_gel_activated_carbon","calcium_chloride","acid_tartrate_powdered","","","","",""
"4678","conscious",10,"conscious","unconscious","unconscious_animals","conscious_animals","eye_movement","wing_flapping","rendered_unconscious","stunned","being_shackled","blinking"
"4679","fluoroquinolones",10,"fluoroquinolones","macrolides","quinolones","third_generation_cephalosporins","tetracyclines","4th_generation_cephalosporins","microbiological_resistance","antimicrobials","erythromycin","cephalosporins_fluoroquinolones"
"4680","o157",10,"o157","o104","o26","serogroups","o157_h7","non_o157","vtec_o26","vtec_o157","o145","nono157"
"4681","biscuits",10,"biscuits","pastries","snacks","breakfast_cereals","pasta_raw","crackers","cakes","porridge","rusks","coffee_beverage"
"4682","lesion",10,"lesion","lesions","discolouration","necrotic","superficial","spontaneous","discoloration","deeper_lesions","pyloric","irregular"
"4683","necropsy",10,"necropsy","macroscopic_examination","histopathological_examination","examinations","histopathology","gross_necropsy","were_weighed","at_necropsy","at_least_once_daily","histology"
"4684","eels",10,"eels","eel","wild_caught","char","flounder","fishes","carp","sea_bass","halibut","ongrowing"
"4685","dill_seed_fennel_seed",10,"dill_seed_fennel_seed","fenugreek_nutmeg_others_ii","coriander_seed_cumin_seed","celery_seed_lovage_seed","seeds_anise_black_caraway","berries_allspice_anise_pepper","berries_allspice","japan_pepper_caraway","japan_pepper_caraway_cardamom","spices_i"
"4686","come_from",7,"come_from","originate_from","brought_into","coming_from","originate","harbour_harmful_organisms","adjoining","","",""
"4687","version_control",4,"version_control","focus_software","focus_software_swash","focus_software_swash_v","","","","","",""
"4688","efsa_shall_determine",4,"efsa_shall_determine","conditions_laid_down","feed_additive_complies_with","regulation_ec_no_1831","","","","","",""
"4689","head_cabbage_pointed_head",10,"head_cabbage_pointed_head","cabbage_red_cabbage_savoy","head_brassica_brussels_sprouts","cauliflower_others_b","cabbage_white_cabbage","chinese_broccoli_broccoli_raab","broccoli_raab_chinese_broccoli","chinese_cabbage_indian","flowering_brassica_broccoli_calabrese","c_leafy_brassica"
"4690","significant_decrease",10,"significant_decrease","significant_increase","statistically_significant_decrease","slight_increase","dose_dependent_decrease","significant_reduction","plasma_alkaline_phosphatase","dose_dependent_manner","dose_dependent_increase","slight"
"4691","b_bovine_meat",10,"b_bovine_meat","offal_others_c","sheep_meat_fat","lean_meat_liver_kidney","fat_liver_kidney_edible","swine_meat_fat_free","d_goat_meat","offal_others","edible_offal_others","fat_liver_kidney"
"4692","highlights",5,"highlights","highlight","points_out","however_comparative_neuroanatomy","underlines","","","","",""
"4693","indirect_effects",10,"indirect_effects","ecological_functions","nta_species","unexpected_effects","source_sink_dynamics","nta_populations","multitrophic_effects","indirect_environmental_impacts","indirect_interactions","ntos"
"4694","d3_ditch",10,"d3_ditch","d4_pond","r1_pond","d5_pond","d4_stream","r3_stream","d2_ditch","d6_ditch","d5_stream","d2_stream"
"4695","dala",10,"dala","dat","dat1","grain_straw","straw_grain","120_dat","grains_husks","270_dat","after_1st_appl","after_2nd_appl"
"4696","correspondence_feedap_efsa_europa",10,"correspondence_feedap_efsa_europa","correspondence_gmo_efsa_europa","correspondence_biohaz_efsa_europa","correspondence_nda_efsa_europa","correspondence_fip_efsa_europa","correspondence_contam_efsa_europa","correspondence_cef_efsa_europa","panel_wishes","correspondence_alpha_efsa_europa","correspondence_plh_efsa_europa"
"4697","neck",10,"neck","legs","wings","chest","arching","common_carotid_arteries","ventral","bleeding","necks","dorsal"
"4698","processed_foods",10,"processed_foods","chocolate","fat_emulsions","sauces","processed_cheese","desserts","fillings","fish_roe","fine_bakery_wares","noodles"
"4699","national_institute",10,"national_institute","center","institute","office","department","ministry","national_institutes","rivm_report_number_350050006","environment_rivm","us_department"
"4700","fennel_leaves_coriander_leaves",10,"fennel_leaves_coriander_leaves","dill_leaves_caraway_leaves","chervil_chives_celery_leaves","lovage_angelica_sweet_cisely","e_witloof_f_herbs","d_water_cress","leaves_grape_leaves","chervil_chives","beetroot_others_vine_leaves","other_apiacea_parsley_sage"
"4701","lays_down",10,"lays_down","20044","200810","200410","no_2377_90","20088","20049","no_1881","20087","transitional_arrangements"
"4702","tissue_distribution",6,"tissue_distribution","kinetics","excretion","elimination","pharmacokinetics","toxicokinetics","","","",""
"4703","clinical_investigations",10,"clinical_investigations","suspect_sampling","surveillance_suspect_sampling","monitoring_selective_sampling","monitoring_objective_sampling","clinical_investigations_clinical_investigations","selective_sampling","switzerland_obf_obmf","suspect_sampling_selective_sampling","convenience_sampling"
"4704","aldehyde",10,"aldehyde","secondary_alcohol","side_chain","oxidised","ketone","corresponding_carboxylic_acid","may_undergo_oxidation","double_bond","furoic_acid","primary_alcohol"
"4705","amaranth",4,"amaranth","ponceau_4r","tartrazine","azorubine_carmoisine","","","","","",""
"4706","europa_eu",9,"europa_eu","index_en_htm","docs","food_chemicalsafety_contaminants","europa_eu_sanco_pesticides_public","fvo_specialreports_pesticides_index_en_htm","sc_oldcomm6_antibiotics","food_rapidalert","committees_04_sccp_docs",""
"4707","pecsw_values",10,"pecsw_values","pecsw","ters","pec_sw","ter_values","focus_step","focus_sw","pecsed_values","focus_pecsw","focus_sw_scheme"
"4708","apple_pears_oriental_pear",10,"apple_pears_oriental_pear","quinces_medlar_loquat_others","fruit_apples_crab","iv_stone_fruit_apricots","walnuts_others_iii_pome","cherries_sweet_cherries_sour","pecans_pine_nuts_pistachios","cherries_peaches_nectarines","iv_stone_fruit","greengage_mirabelle"
"4709","diflubenzuron",6,"diflubenzuron","diflubenzuron_cpu","4_chlorophenylurea","dfba","4_chlorophenylurea_cpu_4chloroaniline","6_difluorobenzoic_acid","","","",""
"4710","large_avocados_bananas_dwarf",10,"large_avocados_bananas_dwarf","banana_plantain_apple_banana","c_inedible_peel","mammey_sapote_others","mangoes_papaya_pomegranate_cherimoya","custard_apple_sugar_apple","sweetsop_llama","other_medium_sized","inedible_peel_large_avocados","canistel_yellow_sapote"
"4711","fishmeal",8,"fishmeal","ruminant_mbm","bone_meal_mbm","poultry_paps","ruminant","bovine_sdrc","mbm","rmbm","",""
"4712","o_mykiss",10,"o_mykiss","p_promelas","l_macrochirus","d_magna","p_subcapitata","ictalurus_punctatus","daphnia_daphnia","lc50_noec_ec50_noec","48h_ec50","magna_magna"
"4713","micronucleus_assay",10,"micronucleus_assay","micronucleus_test","uds_assay","chromosome_aberration_test","unscheduled_dna_synthesis_uds","human_lymphocytes","hprt_assay","vivo_micronucleus","vivo_bone_marrow","mouse_lymphoma"
"4714","girls_aged",7,"girls_aged","years_boys","mo_boys","boys","girls","years_van_buuren","boys_aged","","",""
"4715","fluazifop_p",10,"fluazifop_p","fluazinam","chlorantraniliprole","acequinocyl","tolclofos_methyl","tribenuron","naphthylacetamide","pethoxamid","prothioconazole","propamocarb"
"4716","focusing",5,"focusing","focused","focussing","relies","rely","","","","",""
"4717","plasma_concentrations",10,"plasma_concentrations","serum_concentrations","urinary_α_cehc","peak_plasma_concentrations","pregnanediol","plasma_phenylalanine_levels","urinary_excretion","urinary_ascorbate","24_hour_urinary_excretion","maternal_plasma"
"4718","restaurant",10,"restaurant","catering_service","canteen","hotel","home_please_choose","kindergarten","restaurants","served","hotel_catering_service","please_choose"
"4719","does_not_establish",7,"does_not_establish","gastrointestinal_microorganisms","reducing_subcutaneous_adipocyte_size","increasing_il_10","panel_took_into_account","increases_faecal_bulk","inconsistent_with_respect","","",""
"4720","can_be_enforced",5,"can_be_enforced","cannot_be_enforced","parent_chloropicrin_can","metabolite_505m09","be_enforced","","","","",""
"4721","females_respectively",10,"females_respectively","10000_ppm","400_ppm","e48","females","7000_ppm","5000_ppm","7500_ppm","f1_parental","650_1280_2980_4300"
"4722","bse_agent",10,"bse_agent","bse","bse_infected","bse_infectivity","clinically_infected","incubating","domestic_cattle","arr_arr_genotype","infectious_titre","infectivity"
"4723","must_be_explained_method",9,"must_be_explained_method","all_abbreviations_used","gr_gcpf_codes_gifap","oecd_cipac_should","technical_monograph_no","must_be_explained","technical_monograph","e_gcpf_codes","gifap_technical_monograph",""
"4724","ames_test_ames_test",10,"ames_test_ames_test","reverse_bacterial","ames_test_modified","ames_test_rec_assay","preincubation_method_forward_mutation","sister_chromatid_exchange_sister","chromatid_exchange_sister_chromatid","exchange_sister_chromatid_exchange","mutation_assay_chromosomal_aberration","modified_ames_test"
"4725","observational_studies",10,"observational_studies","prospective_cohort_studies","intervention_studies","rcts","randomised_controlled_trials","meta_analyses","metaanalyses","cross_sectional_studies","randomised_controlled_trials_rcts","alspac"
"4726","estimation_period_required",10,"estimation_period_required","90_percent_disappearance_define","50_percent_disappearance_define","estimation_dry_weight","90_per_cent","90_percent_dissipation_define","50_percent_dissipation_define","effective_concentration_biomass_effective","dry_matter_period","disappearance_define_method"
"4727","imported_into",10,"imported_into","exported","traded","imported","importing","imports","cveda_quarantine_data","carnation_pot_plants","seeds_imported_into","originate"
"4728","certification",10,"certification","pest_free_areas","phytosanitary_requirements","certification_schemes","pfps","containment","pre_export","pestfree","certification_systems","pest_free_places"
"4729","fortified",8,"fortified","supplements","fortification","fortified_cow_s","beverage","fortified_formula","iron_fortified","enriched","",""
"4730","tri_allate",10,"tri_allate","methabenzthiazuron","magnesium_phosphide_incl","metamitron","thiocyclam","lactofen","isoxaben","methazole","pyrazophos","prothioconazole_rd"
"4731","e_faecalis",10,"e_faecalis","e_faecalis_isolates","c_coli","erythromycin_streptomycin","c_jejuni","c_jejuni_isolates","erythromycin","tetracyclines","e_faecium","indicator_enterococcus_faecium"
"4732","twice_daily",10,"twice_daily","once_daily","three_consecutive_days","consecutive_days","six_weeks","four_weeks","mg_δ9_thc","ad_libitum","until_sacrifice","sacrificed"
"4733","ta1535",10,"ta1535","ta1537","ta102","ta1538","ta100","ta98","s_typhimurium_ta98","ta102_ta1535","ta98_ta100_ta1535","e_coli_wp2uvra"
"4734","postmenopausal_women",10,"postmenopausal_women","bone_mass","bone_loss","premenopausal_women","postmenopausal","post_menopausal_women","older_men","prostate_cancer","older_adults","young_women"
"4735","silverskin_onions_shallots_spring",10,"silverskin_onions_shallots_spring","bulb_vegetables_garlic_onions","onions_welsh_onion","swedes_turnips_others_ii","similar_varieties_others_iii","spanish_salsify_spanish_oysterplant","similar_varieties_salsify_scorzonera","cyperus_esculentus_salsify_scorzonera","other_bulb_onions","welsh_onions_other"
"4736","haloxyfop",10,"haloxyfop","haloxyfop_including","haloxyfop_p_its","its_conjugates_expressed","conjugates_expressed_as","1011010","dichlorprop","haloxyfop_sum","methyl_ester_haloxyfop_r","its_conjugates"
"4737","florasulam",4,"florasulam","5_oh_florasulam","dfp_astca_astca","astca_tsa","","","","","",""
"4738","bean_yam_bean_mexican",10,"bean_yam_bean_mexican","yam_bean_arrowroot_others","sweet_potatoes_yams_potato","eddoe_japanese_taro_tannia","tuber_vegetables_cassava_dasheen","yam_bean","beet_beetroot_carrots","tuber_vegetables_except_sugar","yam_bean_arrowroot","potatoes_b_tropical"
"4739","vomiting",10,"vomiting","nausea","diarrhoea","anorexia","nausea_vomiting","dyspnoea","convulsions","headache","fever","tachycardia"
"4740","matters",4,"matters","laying_down_procedures","food_law_establishing","entrusts","","","","","",""
"4741","chinese_broccoli_broccoli_raab",10,"chinese_broccoli_broccoli_raab","cauliflower_others_b","flowering_brassica_broccoli_calabrese","head_brassica_brussels_sprouts","broccoli_raab_chinese_broccoli","head_cabbage_pointed_head","fruiting_vegetables_iv_brassica","cabbage_red_cabbage_savoy","d_sweet_corn","cauliflower_others"
"4742","pigeons",10,"pigeons","gallinaceous_birds","emus","waterfowl","budgerigars","ducks_geese","ducks","infected_experimentally","doves","avian_species"
"4743","gastro_intestinal_tract",10,"gastro_intestinal_tract","gastrointestinal_tract","gi_tract","gut","gut_wall","gut_lumen","intestinal_lumen","reabsorption","proximal_small_intestine","absorbed"
"4744","epco_experts_meeting",10,"epco_experts_meeting","experts_meeting","mammalian_toxicology_epco","epco","ecotoxicology_epco","epco_expert_meeting","expert_meeting","experts_meeting_epco","ecotoxicology_epco_32","epco_33"
"4745","not_concentrated_nor",10,"not_concentrated_nor","or_sweetening_matter_butter","containing_added_sugar","other_fats_derived","others_ii_milk","from_milk_cheese","or_sweetening","or_sweetening_matter","rabbit_kangaroo_meat_fat","curd_cattle"
"4746","commission_regulation",10,"commission_regulation","466_2001","20085","no_622_2002","20086","20088","200812","20087","20068","200818"
"4747","herbicide_tolerant_genetically_modified",10,"herbicide_tolerant_genetically_modified","insect_resistant","genetically_modified_maize_3272","feed_uses_import","insect_resistant_genetically_modified","mon_87701_mon_89788","glufosinate_tolerant_genetically_modified","ga21_unique","glyphosate_tolerant_genetically_modified","bt11_x_mir604_x"
